CONTENT TYPE,PROGRAM NAME,CONTENT NAME,SEASON NUMBER,PARTNER ID,IMPRESSIONS,ESTIMATED PARTNER EARNINGS,eCPM
SERIES,Karamo,S01:E74 - DNA Mystery: Are You My Sister? / My Daughter's Father Is a Deadbeat,1,KA-0672,10333,48.383005549999986,4.682377387980257
SERIES,Karamo,S01:E68 - My Cousin Is Ruining My Marriage / DNA Mystery: Audience Member Searching for Her Sister,1,KA-0671,10326,49.30376210000002,4.774720327329074
SERIES,Karamo,S01:E71 - Update: Will a DNA Test Reveal My True Identity? / You Sabotaged My Birthday Party,1,KA-0666,10254,48.824727599999974,4.761529900526622
SERIES,Karamo,S01:E76 - Unlock the Phone...Sister Betrayal / Best Friend...Are You Jealous?,1,KA-0680,10176,47.98172479999998,4.715185220125784
SERIES,Karamo,S01:E77 - Should We Stay Together for the Baby? / Update: Pitfalls of Social Media,1,KA-0681,10125,47.60917744999998,4.702140982716047
SERIES,Karamo,S01:E79 - Nina Parker on Body Positivity / My Fiance Fat Shames Me / I Lost 200lbs and My Bff,1,KA-0677,10021,47.087608099999976,4.6988931344177205
SERIES,The Jerry Springer Show,S07:E111 - I Share My Lover!,7,JS-1733,10016,46.350025700000025,4.627598412539939
SERIES,Karamo,"S01:E87 - Our Marriage Is Based on Lies / Mom, Your Drinking Is the Problem",1,KA-0688,10011,47.17066499999999,4.711883428228948
SERIES,Karamo,"S01:E80 - Mom, Will You Take a Drug Test?",1,KA-0673,9956,46.90740129999996,4.711470600642825
SERIES,The Jerry Springer Show,S07:E118 - Lovers vs. Mistresses,7,JS-1734,9918,45.96101130000003,4.6341007562008505
SERIES,Karamo,S01:E86 - Unlock the Phone: Over 100k Interactions / I Had to Call the Police on My Granddaughter,1,KA-0687,9834,46.545535049999955,4.733123352654053
SERIES,Karamo,"S01:E73 - Unlock the Phone: Before We Get Married / Mom, Why Don't You Love Me?",1,KA-0675,9807,45.85484034999999,4.675725537881104
SERIES,The Jerry Springer Show,S07:E124 - Wives Battle Mistresses,7,JS-0109,9684,45.154565299999994,4.662801042957455
SERIES,Karamo,S01:E88 - My Husband Has a Porn Addiction / DNA Mystery: Are You My Sister?,1,KA-0689,9467,45.0484003,4.758466282877363
SERIES,Maury,S12:E80 - Did My Husband Have Sex With My Mom? Test Him!,12,MS-1280,9272,43.36055104999999,4.676504643011215
SERIES,Karamo,"S01:E85 - DNA Mystery: Do We Have the Same Father? / Mom, the Day You Abandoned Me Still Hurts",1,KA-0686,9205,44.11856659999998,4.792891537208036
SERIES,The Jerry Springer Show,S07:E120 - Torn Between Two Lovers,7,JS-1735,9149,42.47837939999999,4.6429532626516545
SERIES,Maury,S12:E85 - Test Him! Does My Fiance Have a Secret Sex Life?,12,MS-1285,9005,42.39348904999999,4.707772243198222
SERIES,The Jerry Springer Show,S07:E127 - Ex-Lovers Confronted,7,JS-0142,8908,40.88123535000003,4.589272041984737
SERIES,The Jerry Springer Show,S07:E130 - Mistresses Attack,7,JS-0143,8860,40.56785819999998,4.5787650338600425
SERIES,Karamo,S01:E81 - I Have to Tell You the Truth / I Haven't Kissed My Wife in Years,1,KA-0682,8837,41.28225004999996,4.6715231469955825
SERIES,Karamo,S01:E82 - DNA Mystery: Did My Dad Live Around the Corner All My Life?,1,KA-0684,8750,41.04159294999999,4.690467765714285
SERIES,Maury,S12:E79 - DNA Will Prove... My Five Kids Are Yours!,12,MS-1279,8749,41.12330685000005,4.700343679277638
SERIES,The Jerry Springer Show,S07:E139 - 600 Pound Angry Mom,7,JS-0117,8406,39.418388750000005,4.6893158160837505
SERIES,The Jerry Springer Show,S07:E135 - My Uncle Stole My Wife,7,JS-0145,8400,39.18436590000004,4.6648054642857195
SERIES,Karamo,"S01:E78 - Help, My 16 Year Old Is Out of Control / My Boyfriend Ghosted Karamo",1,KA-0679,8253,38.957496650000024,4.720404295407733
SERIES,Karamo,"S01:E83 - Mom, You've Never Stopped Choosing Men Over Me / Unlock the Phone: Prove You Are Not Cheating",1,KA-0683,8180,38.54721779999997,4.712373814180926
SERIES,Karamo,S01:E84 - Why Women Cheat... a Discussion,1,KA-0685,8149,38.46744444999997,4.7205110381641875
SERIES,The Jerry Springer Show,S07:E156 - Bizarre Jobs,7,JS-0150,8121,37.88243194999998,4.664749655214873
SERIES,Maury,S12:E75 - You Cheated on My Brother... Your 3 Kids Aren't His!,12,MS-1275,7941,37.10733224999999,4.672879013978087
SERIES,Maury,S12:E116 - Did Maurio Have 5 Babies With 5 Women? Test Him!,12,MS-12116,7694,36.545665849999985,4.749891584351441
SERIES,Judge Mom,S02:E01 - For Love or Money,2,JM-0301,3597,18.117449949999994,5.036822338059492
SERIES,Judge Mom,S02:E02 - Battle Royale,2,JM-0302,2453,11.825494950000008,4.820829576029355
SERIES,Judge Mom,S02:E04 - Ink Is Best Served Cold,2,JM-0304,1484,6.930630549999994,4.6702362196765455
SERIES,Judge Mom,S02:E05 - Tornado Tassel,2,JM-0305,1378,6.490593200000004,4.710154716981135
SERIES,Judge Dad,S02:E01 - A Reason to Worry,2,JD-0201,1258,6.609622100000004,5.254071621621625
SERIES,Judge Mom,S02:E06 - Caught in the Act,2,JM-0306,1258,5.896476349999999,4.6871831081081075
SERIES,Judge Mom,S02:E03 - Car Service Scandals,2,JM-0303,1237,5.6359062999999985,4.556108569118835
SERIES,Judge Dad,S03:E02 - Roommate Rumble,3,JD-0302,1164,5.5351201,4.755257817869416
SERIES,Judge Dad,S02:E02 - War of the Roses,2,JD-0202,1137,5.518222950000001,4.8533183377308715
SERIES,Judge Mom,S01:E01 - Alienated Whistleblower,1,JM-0201,1095,5.4672901000000005,4.99295899543379
SERIES,Judge Mom,S01:E02 - Psychic Promises,1,JM-0202,1035,4.900330749999998,4.734619082125602
SERIES,Judge Dad,S03:E01 - Neighbor's Zoom Feud,3,JD-0301,1003,5.071800400000003,5.05663050847458
SERIES,Judge Dad,S03:E04 - My Only Fan Is Your Husband,3,JD-0304,958,4.539889099999997,4.738923903966595
SERIES,Judge Mom,S02:E07 - Shadows of Doubt,2,JM-0307,957,4.487019100000002,4.688630198537098
SERIES,Judge Mom,S02:E08 - Nuptial Nemesis,2,JM-0308,890,3.978481100000001,4.470203483146069
SERIES,Judge Mom,S02:E11 - Rascal Roy & HOA Nightmare,2,JM-0311,865,3.9813396500000002,4.602704797687862
SERIES,Judge Mom,"S02:E09 - Little League, Big Problems",2,JM-0309,864,3.8905562499999986,4.502958622685184
SERIES,Judge Dad,S02:E05 - Love or Visa?,2,JD-0205,847,4.036300650000001,4.765408087367179
SERIES,Judge Dad,S01:E03 - Fit Flirter,1,JD-0103,842,4.299745400000001,5.106585985748219
SERIES,Judge Dad,S03:E03 - Hair We Go,3,JD-0303,806,3.750942899999999,4.653775310173696
SERIES,Judge Dad,S02:E03 - My Violent Valentine,2,JD-0203,784,3.8153287000000002,4.86649068877551
SERIES,Judge Dad,S03:E06 - Family Food Truck Fiasco,3,JD-0306,783,3.715718899999998,4.745490293742015
SERIES,Judge Dad,S03:E07 - Smile! You're on Doggie Cam,3,JD-0307,734,3.4482460000000006,4.6978828337874665
SERIES,Judge Dad,S02:E04 - Pups in the City,2,JD-0204,720,3.514904700000001,4.881812083333335
SERIES,Judge Mom,S01:E04 - Adults Only,1,JM-0204,698,3.3018292500000004,4.730414398280803
SERIES,Judge Mom,S01:E06 - Will-Fully Repugnant,1,JM-0206,683,3.177837199999999,4.652763103953147
SERIES,Judge Dad,S01:E02 - Not My Corona,1,JD-0102,678,3.5480275,5.233078908554572
SERIES,Judge Mom,"S02:E12 - Conception, Deception",2,JM-0312,668,3.0796622000000005,4.610272754491019
SERIES,Judge Mom,S02:E14 - Deflated Love,2,JM-0314,649,3.0671374499999997,4.725943682588597
SERIES,Judge Dad,S01:E01 - Frick Your Frock,1,JD-0101,645,3.4059687,5.280571627906976
SERIES,Judge Mom,S01:E03 - Daddy Dearest,1,JM-0203,636,3.0973940499999997,4.8701164308176095
SERIES,Judge Dad,S01:E04 - No No in the Mo Mo,1,JD-0104,636,3.2344965000000006,5.085686320754718
SERIES,Judge Mom,S02:E13 - The Hero-Con,2,JM-0313,621,3.030488849999999,4.880014251207728
SERIES,Judge Dad,S03:E12 - More Than Just the Mags,3,JD-0312,615,2.924322999999999,4.754996747967478
SERIES,Judge Dad,"S01:E05 - Lights, Camera, No Action",1,JD-0105,609,2.819421949999999,4.6295926929392435
SERIES,Judge Dad,S03:E11 - Ve-Gone,3,JD-0311,589,2.8016034000000007,4.756542275042446
SERIES,Judge Dad,S03:E08 - Baby Not on Board,3,JD-0308,578,2.6611459999999996,4.604058823529411
SERIES,Judge Mom,S01:E08 - Baby Blues,1,JM-0208,567,2.6213082000000005,4.6231185185185195
SERIES,Judge Dad,S01:E08 - Secret Slasher,1,JD-0108,566,2.7225899499999997,4.810229593639575
SERIES,Judge Mom,S01:E07 - Tickets to Lies,1,JM-0207,554,2.673499899999999,4.8258120938628135
SERIES,Judge Mom,S02:E10 - Waisting Away,2,JM-0310,550,2.601543150000001,4.730078454545456
SERIES,Judge Dad,S02:E10 - My Big Bro Caused My Divorce,2,JD-0210,542,2.4829468999999995,4.581082841328413
SERIES,Judge Dad,S02:E08 - Saucy Sisters,2,JD-0208,505,2.383676250000001,4.720150990099012
SERIES,Judge Dad,S03:E15 - Last Fling Before the Ring,3,JD-0315,484,2.1807625500000003,4.505707747933885
SERIES,Judge Dad,S03:E14 - Tip Me Ova,3,JD-0314,477,2.2398511500000007,4.695704716981134
SERIES,Judge Mom,S01:E05 - Franken-Dress,1,JM-0205,458,2.2228741,4.853436899563318
SERIES,Judge Dad,S03:E10 - Puff Puff Trash,3,JD-0310,452,2.17748325,4.81744081858407
SERIES,Judge Dad,S03:E05 - Life in Plastic Is Not Fantastic,3,JD-0305,450,2.1510924499999997,4.7802054444444435
SERIES,Judge Dad,S03:E09 - Show Me the Money,3,JD-0309,445,2.0996496000000002,4.718313707865169
SERIES,Judge Dad,S01:E06 - The Results Are Baked In,1,JD-0106,435,2.1149478999999998,4.861949195402298
SERIES,Judge Dad,S02:E07 - Slum Village,2,JD-0207,429,2.0621552499999996,4.806888694638693
SERIES,Judge Dad,S02:E09 - Over My Dead Body!,2,JD-0209,429,2.0070208500000004,4.678370279720281
SERIES,Judge Dad,S01:E10 - Party in the Hood,1,JD-0110,425,1.986424500000001,4.673940000000003
SERIES,Judge Mom,S01:E09 - Anniversary Blowout,1,JM-0209,424,2.0382013999999997,4.807078773584905
SERIES,Judge Dad,S03:E13 - I Get It From My Mama,3,JD-0313,400,1.8557964999999992,4.639491249999998
SERIES,Judge Dad,S02:E06 - Crypto Crook,2,JD-0206,394,1.8851342500000003,4.784604695431473
SERIES,Judge Dad,S01:E09 - Riding Dirty,1,JD-0109,368,1.8146105999999993,4.931007065217389
SERIES,Judge Dad,"S01:E14 - Fired Up, Ready to Go",1,JD-0114,353,1.7603933499999997,4.986949999999999
SERIES,Judge Mom,S01:E10 - Piglet Parade,1,JM-0210,341,1.6034604000000003,4.702229912023461
SERIES,Judge Dad,S01:E15 - AirPnP,1,JD-0115,331,1.5729462499999995,4.75210347432024
SERIES,Judge Dad,S01:E12 - Netflix and Chill,1,JD-0112,309,1.4973821000000003,4.845896763754046
SERIES,Judge Dad,S01:E07 - Gold Digger,1,JD-0107,307,1.4184527999999998,4.620367426710097
SERIES,Judge Dad,S01:E13 - Party Girl Cruise,1,JD-0113,257,1.2398329500000003,4.82425272373541
SERIES,Judge Dad,S01:E11 - Ruff Times,1,JD-0111,203,1.0363353,5.1051
